id,submission,sourceCode,author,memory,time,sent,countline,problems_id,verdicts_id,languages_id,isduplicated
593,24179876,"a,b = map(int,raw_input().split())
print min(a,b),(max(a,b)-min(a,b))%2",224,4536,31,2017-01-27 05:54:06,3,2,2,13,0
594,24179899,"a,b = map(int,raw_input().split())
print min(a,b),(max(a,b)-min(a,b))/2",224,4544,62,2017-01-27 05:56:25,3,2,1,13,0
616,24201174,"n = int(input())
x = input().split() # [int(elem) for elem in input().split()]

p=''
maxi = 0

for i in range(n-1,-1,-1):
    xi = int(x[i])
    maxi = max(maxi, xi)#x[i])
    if xi < maxi: # x[i] < maxi:
        p = str((maxi - xi + 1)) + ' ' + p #x[i]+1))+' '+p
    else:
        p = '0' + ' ' + p

print(p[:-1])",234,10184,1000,2017-01-27 23:52:34,29,1,3,8,0
622,24201703,"import array


def main():
    n = int(input())
    hs = input().split()
    maxi = 0
    p = array.array('Q', n * [0])

    for i in range(n - 1, -1, -1):
        hi = int(hs[i])
        p[i] = max(0, maxi - hi + 1)
        maxi = max(maxi, hi)

    for i in range(n - 1):
        print(p[i], '', end='')

    print(p[n - 1])


if __name__ == ""__main__"":
    main()",234,11828,857,2017-01-28 00:41:12,43,1,1,8,0
1197,24795739,"a,b=map(int,raw_input().strip().split("" ""))
if a>b:
    a=a-b
    n=b+a/2
else: 
    b=b=a
    n=a+b/2
print n",475,4500,46,2017-02-19 09:27:37,15,2,2,13,0
1198,24795763,"a,b=map(int,raw_input().strip().split("" ""))
if a>b:
    a=a-b
    print b,a/2 
else: 
    b=b-a
    print a,b/2",475,4548,62,2017-02-19 09:29:34,13,2,1,13,0
1335,25017577,"r,b=map(int,input().split())
can=0
cant=0

if(r>b):
    while(b>0):
        b-=1
        r-=1
        can+=1
    while(r>1):
        r-=2
        cant+=1
elif(r<b):
    while(r>0):
        r-=1
        b-=1
        can+=1
    while(b>1):
        b-=1
        cant+=1
else:
    while(r>0):
        r-=1
        can+=1

print(can,cant)",522,4528,62,2017-02-25 19:20:34,51,2,2,8,0
1336,25017781,"r,b=map(int,input().split())
can=0
cant=0

if(r>b):
    while(b>0):
        b-=1
        r-=1
        can+=1
    while(r>1):
        r-=2
        cant+=1
elif(r<b):
    while(r>0):
        r-=1
        b-=1
        can+=1
    while(b>1):
        b-=2
        cant+=1
else:
    while(r>0):
        r-=1
        can+=1

print(can,cant)",522,4524,62,2017-02-25 19:30:13,51,2,1,8,0
1372,25087043,"a, b = map(int, input().split())
print(min(a, b) // 2, abs(a - b) // 2)",542,4520,46,2017-02-27 22:36:28,3,2,2,8,0
1373,25087046,"a, b = map(int, input().split())
print(min(a, b), abs(a - b) // 2)",542,4532,62,2017-02-27 22:36:40,3,2,1,8,0
1710,25474674,"'''input
4
3 2 1 4
'''
n = int(input())
a = list(map(int, input().split()))
m, l = 0, []
for _ in range(n):
	x = a.pop()
	if x > m:
		m = x
		l.append(0)
	else:
		l.append(m - x + 1)
print(l[::-1])",531,4432,46,2017-03-14 16:54:35,15,1,2,8,0
1711,25474687,"'''input
4
3 2 1 4
'''
n = int(input())
a = list(map(int, input().split()))
m, l = 0, []
for _ in range(n):
	x = a.pop()
	if x > m:
		m = x
		l.append(0)
	else:
		l.append(m - x + 1)
print("" "".join(map(str, l[::-1])))",531,13964,156,2017-03-14 16:54:59,15,1,1,8,0
2268,25812254,"n,k = map(int,input().split())
a = list(map(int,input().split()))
x = [0]*(15)
ans = 0
for i in a:
    x[i%10]+=1
    ans += i//10
for i in range(9,-1,-1):
    ans += min(k//(10-i),x[i]);
    k -= min(k//(10-i),x[i])*(10-i);
print (min(n*10,ans))",815,4480,61,2017-03-26 09:38:51,21,3,2,8,0
2269,25812305,"n,k = map(int,input().split())
a = list(map(int,input().split()))
x = [0]*(15)
ans = 0
for i in a:
    x[i%10]+=1
    ans += i//10
for i in range(9,-1,-1):
    ans += min(k//(10-i),x[i]);
    k -= min(k//(10-i),x[i])*(10-i);
if(ans<10*n):
    ans+=min(10*n-ans,k//10);
print (min(n*10,ans))",815,9856,109,2017-03-26 09:40:59,25,3,1,8,0
2518,26113412,"a, b = map(int, raw_input().split())
print (min(a, b), abs(a-b)/2)",908,4524,30,2017-04-04 08:22:50,3,2,2,13,0
2519,26113417,"a, b = map(int, raw_input().split())
print min(a, b), abs(a-b)/2",908,4564,46,2017-04-04 08:23:22,3,2,1,13,0
2957,26443956,"n = int(input())
houses = list(map(int,input().split()))
lis = []
for i in range(n):
    if max(houses[i:]) > houses[i]:
        lis.append(str(max(houses[i:]) + 1 - houses[i]))
    elif max(houses[i:]) <= houses[i]:
        lis.append('0')

print (' '.join(lis))",1049,11616,1000,2017-04-17 05:40:29,19,1,3,8,0
2958,26444298,"n = int(input())
houses = list(map(int,input().split()))
lis = [0]*n
mx = 0
for i in range(n-1,-1,-1):
    if houses[i] > mx:
        mx = houses[i]
    else:
        lis[i] = mx - houses[i] + 1
print (*lis)",1049,13588,342,2017-04-17 06:07:59,19,1,1,8,0
2966,26459393,"import pdb

def maxim(k, skills):
	def getScore(skills):
		score = 0.0
		for i in skills:
			score += (float(i)/10.0)//1.0

		return int(score)

	rank=[]
	for s in skills:
		if s == 10:
			distance = 0
		else:
			distance = 10-s%10
			
		rank.append(distance)


	srank = rank[:]
	srank.sort()

	irank = []
	for s in srank:
		irank.append(rank.index(s))

	correctOrder = []
	for i in irank:
		correctOrder.append(skills[i])

	# pdb.set_trace()

	skills.sort()

	i = 0
	while i<len(skills) and k > 0:
		if correctOrder[i] %10 != 0 :
			correctOrder[i]+=1
			k-=1
		else:
			i+=1


	return getScore(correctOrder)


n, k = map(int, raw_input().split())
skills = map(int, raw_input().split())

print maxim(k, skills)",1053,6040,77,2017-04-17 19:04:00,51,3,2,13,0
2967,26459430,"import pdb

def maxim(k, skills):
	def getScore(skills):
		score = 0.0
		for i in skills:
			score += (float(i)/10.0)//1.0

		return int(score)

	rank=[]
	for s in skills:
		if s == 10:
			distance = 0
		else:
			distance = 10-s%10
			
		rank.append(distance)


	srank = rank[:]
	srank.sort()

	irank = []
	for s in srank:
		irank.append(rank.index(s))

	correctOrder = []
	for i in irank:
		correctOrder.append(skills[i])

	# pdb.set_trace()

	skills.sort()

	i = 0
	while i<len(skills) and k > 0:
		if correctOrder[i] %10 != 0 or correctOrder[i] == 0:
			correctOrder[i]+=1
			k-=1
		else:
			i+=1


	return getScore(correctOrder)


n, k = map(int, raw_input().split())
skills = map(int, raw_input().split())

print maxim(k, skills)",1053,6032,77,2017-04-17 19:06:01,51,3,2,13,0
3033,26513491,"'''input
2 4
7 9
'''
n, k = map(int, input().split())
a = list(map(int, input().split()))
a1 = map(str, a)
a1 = list(map(int, sorted(a1, key=lambda x: x[-1], reverse=True)))
while k > 0:
	for x in range(n):
		c = 10 - a1[x] % 10
		if c <= k:
			a1[x] += c
			k -= c
		else:
			print(min(sum([x//10 for x in a1]), n*100))
			quit()
print(min(sum([x//10 for x in a1]), n*10))",531,10324,639,2017-04-20 13:56:02,18,3,2,8,0
3034,26513527,"'''input
10 10000
1 1 1 1 1 1 1 1 1 1
'''
n, k = map(int, input().split())
a = list(map(int, input().split()))
a1 = map(str, a)
a1 = list(map(int, sorted(a1, key=lambda x: x[-1], reverse=True)))
while k > 0:
	for x in range(n):
		c = 10 - a1[x] % 10
		if c <= k:
			a1[x] += c
			k -= c
		else:
			print(min(sum([x//10 for x in a1]), n*10))
			quit()
print(min(sum([x//10 for x in a1]), 10*n))",531,11196,795,2017-04-20 13:58:10,18,3,1,8,0
3629,27236581,"import sys
import math

a,b = map(int, input().split())
print(min(a,b), max(a,b) // 2)",1307,0,46,2017-05-20 18:12:05,9,2,2,8,0
3630,27236585,"import sys
import math

a,b = map(int, input().split())
print(min(a,b), (max(a,b) - min(a,b))// 2)",1307,0,62,2017-05-20 18:12:38,9,2,1,8,0
3672,27270220,"st = raw_input()
l st.split()
a = int(l[0])
b = int(l[1])
small = a
big = b
if b<=a:
	small = b
	big = a
sum = 0
sum += big - small
sum1 = small 
print str(sum1) + "" "" + str(sum/2)",1323,0,0,2017-05-21 18:56:57,13,2,4,13,0
3673,27270231,"st = raw_input()
l=st.split()
a = int(l[0])
b = int(l[1])
small = a
big = b
if b<=a:
	small = b
	big = a
sum = 0
sum += big - small
sum1 = small 
print str(sum1) + "" "" + str(sum/2)",1323,8,46,2017-05-21 18:57:31,13,2,1,13,0
3690,27293235,"import math as m
a , b = int(input()), int(input())
if a>b:
    print(b,end=' ')
    print (m.floor(m.fabs(a-b)/2))

else:
    print(a,end=' ')
    print(m.floor(m.fabs(a-b)/2))",1332,12,62,2017-05-23 06:09:37,17,2,5,8,0
3691,27293303,"import math as m
a , b = int(input()), int(input())

if a > b:
        print(b, "" "", m.floor(m.fabs(a-b)/2))
else:
    print(a, "" "", m.floor(m.fabs(a - b) / 2))",1332,0,46,2017-05-23 06:15:57,13,2,5,8,0
4158,27548346,"from math import *

n,k=tuple(input().split("" ""))
n=int(n)
k=int(k)
skills=[int(x) for x in input().split("" "")]
toNext=[]
rating=0
for x in skills:
    toNext.append(ceil(x/10)*10-x)
    rating+=x//10
toNext.sort()
for x in toNext:
    if k>=x:
        rating+=1
        k-=x
    else:
        break
print(rating)",1460,0,61,2017-06-03 19:01:30,37,3,2,8,0
4159,27548417,"from math import *

n,k=tuple(input().split("" ""))
n=int(n)
k=int(k)
skills=[int(x) for x in input().split("" "")]
toNext=[]
rating=0
for x in skills:
    toNext.append(ceil(x/10)*10-x)
    if toNext[-1]==0 and x==100:
        toNext.remove(0)
    elif toNext[-1]==0:
        toNext[-1]=10
    rating+=x//10
toNext.sort()
for x in toNext:
    if k>=x and k>0:
        rating+=1
        k-=x
    else:
        break
print(rating)",1460,0,46,2017-06-03 19:05:49,45,3,2,8,0
4306,27701939,"a=list(map(int, input().strip.split(' ')))
x=int(abs(a[1]-a[0])/2)
if(a[0]<a[1]):
    min=a[0]
else:
    min=a[1]
print(min, x)",1518,0,61,2017-06-10 10:47:19,13,2,5,8,0
4307,27701957,"a=list(map(int, input().strip().split(' ')))
x=int(abs(a[1]-a[0])/2)
if(a[0]<a[1]):
    min=a[0]
else:
    min=a[1]
print(min, x)",1518,16,77,2017-06-10 10:48:52,13,2,1,8,0
4515,27819831,"# 581C
# O(n*log(n)) time
# θ(n) space

__author__ = 'artyom'


# SOLUTION

def main():
    n, k = read(3)
    a = sorted(read(3), key=lambda x: x % 10, reverse=True)
    res = 0
    for v in a:
        res += v // 10
        rem = 10 - v % 10
        if 0 < rem <= k:
            k -= rem
            res += 1
    return res + k // 10


# HELPERS

def read(mode=1, size=None):
    # 0: String
    # 1: Integer
    # 2: List of strings
    # 3: List of integers
    # 4: Matrix of integers
    if mode == 0: return input().strip()
    if mode == 1: return int(input().strip())
    if mode == 2: return input().strip().split()
    if mode == 3: return list(map(int, input().strip().split()))
    a = []
    for _ in range(size):
        a.append(read(3))
    return a


def write(s=""\n""):
    if s is None: s = ''
    if isinstance(s, tuple) or isinstance(s, list): s = ' '.join(map(str, s))
    s = str(s)
    print(s, end=""\n"")


write(main())",227,0,61,2017-06-16 10:58:13,95,3,2,8,0
4516,27819919,"# 581C
# O(n*log(n)) time
# θ(n) space

__author__ = 'artyom'


# SOLUTION

def main():
    n, k = read(3)
    a = sorted(read(3), key=lambda x: x % 10, reverse=True)
    res = 0
    ex = 0
    for v in a:
        res += v // 10
        rem = 10 - v % 10
        if 0 < rem <= k:
            k -= rem
            res += 1
            ex += 100 - (v + rem)
        else:
            ex += 100 - v
    return res + min(k, ex) // 10


# HELPERS

def read(mode=1, size=None):
    # 0: String
    # 1: Integer
    # 2: List of strings
    # 3: List of integers
    # 4: Matrix of integers
    if mode == 0: return input().strip()
    if mode == 1: return int(input().strip())
    if mode == 2: return input().strip().split()
    if mode == 3: return list(map(int, input().strip().split()))
    a = []
    for _ in range(size):
        a.append(read(3))
    return a


def write(s=""\n""):
    if s is None: s = ''
    if isinstance(s, tuple) or isinstance(s, list): s = ' '.join(map(str, s))
    s = str(s)
    print(s, end=""\n"")


write(main())",227,5312,171,2017-06-16 11:03:01,103,3,1,8,0
4623,27917248,"#!/bin/python3

a, b = [int(i) for i in (input().split())]
different = min(a, b)
a -= different
b -= different
same = max(a, b)

print(different, same//2)",1653,4,62,2017-06-20 07:47:11,17,2,1,8,0
4624,27917271,"#!/bin/python3

a, b = [int(i) for i in (input().split())]

print(min(a,b), (max(a,b)-min(a,b))//2)",1653,8,77,2017-06-20 07:49:01,9,2,1,8,0
4840,28137546,"#BeEf_Killer_______
#          / _   _ \
#         / (.) (.) \
#        ( _________ )
#         \`-V-|-V-'/
#          \   |   /
#           \  ^  /
#            \    \
#             \    `-_
#              `-_    -_
#                 -_    -_
#                 _-    _-
#               _-    _-
#             _-    _-
#           _-    _-
#           -_    -_
#             -_    -_
#               -_    -_
#                 -_    -_
#                 _-    _-
#       ,-=:_-_-_-_ _ _-_-_-_:=-.
#      /=I=I=I=I=I=I=I=I=I=I=I=I=\
#     |=I=I=I=I=I=I=I=I=I=I=I=I=I=|
#     |I=I=I=I=I=I=I=I=I=I=I=I=I=I|
#     \=I=I=I=I=I=I=I=I=I=I=I=I=I=/
#      \=I=I=I=I=I=I=I=I=I=I=I=I=/
#       \=I=I=I=I=I=I=I=I=I=I=I=/
#        \=I=I=I=I=I=I=I=I=I=I=/
#         \=I=I=I=I=I=I=I=I=I=/
#          `================='
#To(o_C)lose
n = int(input())
a = list(map(int, input().split()))
m = -1
ans = []
for i in range(n):
      if a[n-i-1] > m:
        ans.append(""0"")
      else:
        ans.append(str(m+1-a[n-i-1]))

      m = max(a[n-i-1], m)

print("" "".join(ans[::-1]))",1718,4548,30,2017-06-29 13:56:18,87,1,5,13,0
4841,28137692,"#BeEf_Killer_______
#          / _   _ \
#         / (.) (.) \
#        ( _________ )
#         \`-V-|-V-'/
#          \   |   /
#           \  ^  /
#            \    \
#             \    `-_
#              `-_    -_
#                 -_    -_
#                 _-    _-
#               _-    _-
#             _-    _-
#           _-    _-
#           -_    -_
#             -_    -_
#               -_    -_
#                 -_    -_
#                 _-    _-
#       ,-=:_-_-_-_ _ _-_-_-_:=-.
#      /=I=I=I=I=I=I=I=I=I=I=I=I=\
#     |=I=I=I=I=I=I=I=I=I=I=I=I=I=|
#     |I=I=I=I=I=I=I=I=I=I=I=I=I=I|
#     \=I=I=I=I=I=I=I=I=I=I=I=I=I=/
#      \=I=I=I=I=I=I=I=I=I=I=I=I=/
#       \=I=I=I=I=I=I=I=I=I=I=I=/
#        \=I=I=I=I=I=I=I=I=I=I=/
#         \=I=I=I=I=I=I=I=I=I=/
#          `================='
#To(o_C)lose

n = int(raw_input());
inp = raw_input().split();
inp.reverse();
mx = -1;
ans=[];
for el in inp:
	x = int(el);
	if mx == -1 or x >  mx:
		ans.append('0')
	else:
		ans.append(str(mx - x + 1))
	mx = max(mx, x);
ans.reverse();
print "" "".join(ans);",1718,13760,218,2017-06-29 14:04:45,91,1,1,13,0
4892,28207113,"n = int(input())
string = input()
numbers = string.split("" "")
for x in range(n):
    numbers[x] = int(numbers[x])
floors = []
for x in range(n - 1):
    a = numbers[x]
    b = max(numbers[(x + 1):])
    if a > b:
        floors.append(""0"")
    else:
        floors.append(str(b - a + 1))
floors.append(""0"")
print("" "".join(floors))",1633,11576,1000,2017-07-02 12:12:10,29,1,3,8,0
4893,28207357,"n = int(input())
string = input()
numbers = string.split("" "")
for x in range(n):
    numbers[x] = int(numbers[x])
floors = []
maximum = numbers[n - 1]
for x in range(n - 2, -1, -1):
    a = numbers[x]
    if a > maximum:
        maximum = a
        floors.append(""0"")
    else:
        floors.append(str(maximum - a + 1))
floors = floors[::-1]
floors.append(""0"")
print("" "".join(floors))",1633,16572,202,2017-07-02 12:27:04,33,1,1,8,0
4978,28316800,"n1, n2 = map(int, input().strip().split(' '))

if n1 != n2:
	mx = max(n1, n2)
	mn = min(n1, n2)
	rem = mx - mn
	if rem > 1:
		sc = int(rem / 2)
	else:
		sc = 0

print(mn, sc)",1811,4480,46,2017-07-06 08:32:55,23,2,5,8,0
4979,28316836,"n1, n2 = map(int, input().strip().split(' '))

if n1 != n2:
	mx = max(n1, n2)
	mn = min(n1, n2)
	dc = mn
	rem = mx - mn
	if rem > 1:
		sc = int(rem / 2)
	else:
		sc = 0
else:
	dc = n1
	sc = 0

print(dc, sc)",1811,5436,62,2017-07-06 08:35:07,31,2,1,8,0
5101,28423256,"a, b = map(int, input().split())
x = min(a, b)
a -= x
b -= x
y = a // 2 + b // 2
print(x + "" "" + y)",1865,4500,46,2017-07-11 11:31:17,11,2,5,8,0
5107,28425472,"a, b = map(int, input().split())
x = min(a, b)
a -= x
b -= x
y = a // 2 + b // 2
print(str(x) + "" "" + str(y))",1865,5448,61,2017-07-11 14:53:17,11,2,1,8,0
5116,28490622,"x = int(input())

lista = list(map(int, input().split()))
velox = """"
for i in range(x-1):
  lia = lista[i+1:]
  velox+= str((max(lia)+1-lista[i])) + "" ""
velox+= ""0""
  
print(velox)",1872,4472,46,2017-07-13 08:36:03,19,1,2,8,0
5117,28490663,"x = int(input())

lista = list(map(int, input().split()))
velox = """"
for i in range(x-1):
  lia = lista[i+1:]
  if((max(lia)+1-lista[i]) < 0):
    valor = 0
  else:
    valor = max(lia)+1-lista[i]
  velox += str(valor) + "" ""
velox+= ""0""
  
print(velox)",1872,11484,1000,2017-07-13 08:37:47,27,1,3,8,0
5120,28495490,"from sys import stdin
n=int(input())
z=tuple(map(int,stdin.readline().split()))
i=0
g=max(z)
max_i=z.index(g)
while(i<n-1):
    if(i>max_i):
        g=max(z[i:])
        max_i=z.index(g)
    if(i==max_i):
        print(0,end="" "")
    else:
        print(z[max_i]-z[i]+1,end="" "")
    i+=1
print(0)",1857,12676,1000,2017-07-13 11:21:28,31,1,3,8,0
5121,28495563,"n=int(input())
a=list(map(int,input().split()))
x=1
r=[]
for i in range(n-1,-1,-1):r+=[max(x-a[i],0)];x=max(x,a[i]+1)
print(' '.join(map(str,r[::-1])))",1857,15808,202,2017-07-13 11:23:39,11,1,1,8,0
5457,28692302,"string = input()
numbers = string.split()
a, b = int(numbers[0]), int(numbers[1])
string = input()
skills = list(map(int, string.split()))
order = sorted(map(lambda x: 10 - x % 10, skills))
global n
n = 0
def improve():
    global n, s
    condition = False
    for x in range(a):
        if skills[x] < 100:
            condition = True
            n += order[x]
            if n > b:
                break
            r = 10 - order[x]
            for y in range(a):
                if skills[y] % 10 == r:
                    skills[y] += r
                    break
            order[x] = 10
    else:
        if condition:
            improve()
improve()
print(sum(map(lambda x: x // 10, skills)))",1633,4520,61,2017-07-19 12:38:53,55,3,2,8,0
5459,28692383,"string = input()
numbers = string.split()
a, b = int(numbers[0]), int(numbers[1])
string = input()
skills = list(map(int, string.split()))
order = sorted(map(lambda x: 10 - x % 10, skills))
global n
n = 0
def improve():
    global n, s
    condition = False
    for x in range(a):
        if skills[x] < 100:
            condition = True
            n += order[x]
            if n > b:
                break
            r = 10 - order[x]
            for y in range(a):
                if skills[y] % 10 == r:
                    skills[y] += order[x]
                    break
            order[x] = 10
    else:
        if condition:
            improve()
improve()
print(sum(map(lambda x: x // 10, skills)))",1633,6484,1000,2017-07-19 12:42:15,55,3,3,8,0
5920,28745827,"n = int(input().strip())
ll = list(map(int,input().split()))
k = ll[-1]
otvet = '0'
for i in range(n-2,-1,-1):
    if ll[i] > k:
        k = ll[i]
        otvet = '0 ' + otvet
    else:
        otvet = str(k - ll[i] + 1) + ' ' + otvet
print(otvet)",1673,11564,1000,2017-07-21 12:11:20,21,1,3,8,0
5925,28746288,"n = int(input().strip())
ll = list(map(int,input().split()))
k = ll[-1] + 1
otvet = '0'
for i in range(n-2,-1,-1):
    if ll[i] >= k:
        k = ll[i] + 1
        otvet = ' 0 ' + otvet
    else:
        otvet = str(k - ll[i]) + otvet
print(otvet)",1673,4448,31,2017-07-21 12:30:41,21,1,2,8,0
6304,29225381,"n = int(input())
a = [int(x) for x in input().split()]
for i in range (0, n - 1):
	mx=a[i + 1]
	for j in range (i + 1, n):
		if a[j] > mx:
			mx = a[j]
        print(max(mx - a[i] + 1, 0),end=' ')
print('0')",2113,0,0,2017-08-05 21:20:38,17,1,4,8,0
6305,29225430,"n = int(input())
a = [int(x) for x in input().split()]
for i in range (0, n - 1):
    mx=a[i + 1]
    for j in range (i + 1, n):
        if a[j] > mx:
            mx = a[j]
    print(max(mx - a[i] + 1, 0), end=' ')
print('0')",2113,11484,1000,2017-08-05 21:23:23,17,1,3,8,0
6316,29248907,"#!/usr/bin/python3

from itertools import permutations


def isqrt(x):
    l, r = 0, 10**100
    while l < r - 1:
        mid = (l + r) // 2
        if mid ** 2 > x:
            r = mid
        else:
            l = mid
    return l


x1, y1, x2, y2, x3, y3 = map(int, input().split())
p = [(x1, y1, ""A""), (x2, y2, ""B""), (x3, y3, ""C"")]

s = x1 * y1 + x2 * y2 + x3 * y3
x = isqrt(s)
if x * x != s:
    print(-1)
    exit(0)

for mask in range(1 << 3):
    q = []
    for i in range(3):
        if (mask >> i) & 1:
            q.append((p[i][0], p[i][1], p[i][2]))
        else:
            q.append((p[i][1], p[i][0], p[i][2]))
    if q[0][0] == q[1][0] == q[2][0] == x:
        for i in range(q[0][1]):
            print(""A"" * x)
        for i in range(q[1][1]):
            print(""B"" * x)
        for i in range(q[2][1]):
            print(""C"" * x)
        exit(0)
    for r in permutations(q):
        t = list(r)
        if t[0][0] == x and t[0][1] + t[1][1] == x and t[0][1] + t[2][1] == x and t[1][0] + t[2][0] == x:
            for i in range(t[0][1]):
                print(t[0][2] * x)
            for i in range(x - t[0][1]):
                print(t[1][2] * t[1][0] + t[2][2] * t[2][0])
            exit(0)

print(-1)",2118,4720,46,2017-08-07 00:01:21,50,4,2,8,0
6317,29248921,"#!/usr/bin/python3

from itertools import permutations


def isqrt(x):
    l, r = 0, 10**100
    while l < r - 1:
        mid = (l + r) // 2
        if mid ** 2 > x:
            r = mid
        else:
            l = mid
    return l


x1, y1, x2, y2, x3, y3 = map(int, input().split())
p = [(x1, y1, ""A""), (x2, y2, ""B""), (x3, y3, ""C"")]

s = x1 * y1 + x2 * y2 + x3 * y3
x = isqrt(s)
if x * x != s:
    print(-1)
    exit(0)

for mask in range(1 << 3):
    q = []
    for i in range(3):
        if (mask >> i) & 1:
            q.append((p[i][0], p[i][1], p[i][2]))
        else:
            q.append((p[i][1], p[i][0], p[i][2]))
    if q[0][0] == q[1][0] == q[2][0] == x:
        print(x)
        for i in range(q[0][1]):
            print(""A"" * x)
        for i in range(q[1][1]):
            print(""B"" * x)
        for i in range(q[2][1]):
            print(""C"" * x)
        exit(0)
    for r in permutations(q):
        t = list(r)
        if t[0][0] == x and t[0][1] + t[1][1] == x and t[0][1] + t[2][1] == x and t[1][0] + t[2][0] == x:
            print(x)
            for i in range(t[0][1]):
                print(t[0][2] * x)
            for i in range(x - t[0][1]):
                print(t[1][2] * t[1][0] + t[2][2] * t[2][0])
            exit(0)

print(-1)",2118,4776,62,2017-08-07 00:02:28,52,4,1,8,0
6669,13405427,"n = int(input())
values = list(map(int, input().split()))
dct = dict()
cnt = n * n - n
for a in values:
    if a not in dct:
        dct[a] = 1            
    else:
        dct[a] += 1
        if cnt and (dct[a] >= cnt):
            dct[a] -= cnt
            cnt = 0
        elif cnt and (dct[a] < cnt):
            cnt -= dct[a]
            dct[a] = 0
            
items = list(dct.items())
for k in items:
    if k[1]:
        for i in range(k[1]):
            print(k[0], end = ' ')",2253,4608,296,2015-10-04 19:38:34,41,7,2,8,0
6691,13405984,"n = int(input())
a = list(map(int, input().split()))
ans = []
max = 0
for i in range(n):
    for j in range(n * n):
        if a[j] > a[max]:
            max = j
    ans.append(a[max])
    a[max] = 0
print(' '.join(map(str, ans)))",2253,0,46,2015-10-04 20:21:43,21,7,2,8,0
